reviewerID,overall,summary
AKHWZ3S1UVZAO,5,Best 12-String Capo Ever
A2D0F87RY5YMHN,5,Kyser Caps Are An Easy Recommendation
A39TYRIZLTCK9P,4,good buy
A2RVY2GDMZHH4,5,Absolute necessity
AJGD0VSCUJUP5,5,Never can go wrong with Kyser
A3EZEP0FX5BC1P,5,A very good ukulele capo
A3C9F3SZWLWDZF,5,Its a Capo.
AHMEG9CAAT2KF,4,I'm new to a capo
AREHEVC8J64QA,5,Perfect Fit for my Ukulele
A3775OP5VTX5ON,4,"WOw, wow wow, for ukulele.: but one caveat!"
A306YUQBEB2R9T,5,Good capo for small instrument..
A10NJEIG56RHN5,5,Works Great
A2SFO875EQ66AB,5,Kyser Ukulele Capo
A28FADP9FITQVK,5,Great
A24JUT24W1K3CV,3,Not Enough Pressure For A Mandolin
A136M3QYHUVN9A,5,"Kyser Banl, Mandolin Capo"
A3IELJ39K3QL7,5,"Seems well built, practical"
A24AQ24CD6865K,4,It's a capo
A2J4GBHSDLP4DF,5,Kyser Is The Cadillac
A7KIY7RDFHRN9,5,One of the best mandolin/banjo capos out there
A13NZBZQ7ZZG5O,5,Couldn't Ask for More!
AJK15Q9JOEHRH,5,Best Straplocks
A1CD7IUM2JRPY1,4,Probably the best strap lock system ever IMHO
A3S737ZGWE1GKY,4,"They work fine, so far. But still scared o.o"
A13A81NN0NRD1S,4,"Does NOT fit Gibson SG, Fender Strat seems good"
A26SN2CVQM4FKM,4,work fine kinda protruding
A32264FNDHOH3Q,5,work great
A2Y1R8CZMTALJP,5,Life saver
A1EUO0BU72JR7T,4,I Prefer Scahllers...
A2A039TZMZHH9Y,5,Work Great
A2GC5JELY3N07V,5,Easy to install and use
A1UPZM995ZAH90,5,By far the best strap lock option
A11INIL2YFJ137,5,Love em
A23033Q9WZBG4V,5,Nice locks
A1HPC4BDRLR60,5,"Simple, easy to install"
A3FQ9WYUHG9CD,4,Gibson Good:  Dunlop Dual Design Straploks
A2YQTEPCGZ5N7J,5,"Easy to install, does the job"
A1IJUUNPU7L6LA,5,Want security and convenience?  This is it for guitar strap usage....
A3MMISYL1GBXH4,5,Great Locking system!
AMGUVF20JAOG8,5,An essential item
ALB04NLERUCYC,5,Great Buy
A1B9TIERY43Q8H,5,Sturdy and easy to install
A1VAUZRF5PUSOZ,5,save your axe!
A6A03NM42KUXL,5,Going to get them for all my guitars
A2F26OVBDC7WWA,5,you should definitley buy these!
ABZYVME9NYCQG,5,Working Perfect.
A19IFF0DGV0T3E,4,Vastly Superior Design/Function compared to Schaller Style
AMACM7BGUQCZD,4,Dont know why I put off getting this
A20L3BCRCICRSQ,5,What a fantastic way to secure a guitar!
A2P5U53IUTDUE6,4,like it
A2X2GEABQXRX7P,1,Not as good as Schallers!
A2WROWUBLQ9GZZ,5,Reliable
A3FW4THIMBIN6V,2,Disappointing Quality and Engineering
A3F1GM7ZAZD1SW,3,"So far so good, but may have found something much better."
A1365RYO0BLEMI,2,Too Big.
A87NFCCTUG4PO,4,Work fine.  Tight fit with some straps.
AITXZ1QOILJ5Z,5,don't let your guitar fall
AG8FGAIPRBKIR,3,"Screws strip too easy, but good if you can screw in"
A1YP96MT6W9FTB,4,"Excellent Strap Lock System, With One Small Problem"
A1GUHIMGFE362L,5,Great strap locks for any guitar!
A768OB1LNE356,5,Use on all my guitars
AH4HBHRM707WA,4,"Great product, bad shipping from Amazon"
A1EX4410F46C8O,4,Great locks
A781ITP3HE2N5,5,Great straplocks!
A10H2F00ZOT8S2,5,GREAT Straplok system!
A3PGQWCSJPCYDH,4,Better than Fender's strap locks
A2T372SGRFAWYP,5,Excellent guitar saving straplocks
A3K9OQPCI8UJE,5,Good Quality
A1HQN6CNAO683Y,5,Great strap protector
A3MKGUUWT9OOY6,4,Ok if you got alot of axes and a fav strap
AGGQFKI536BUW,5,Guitar strap locks - a must have
A3CSSZ6U5J4YS5,5,The best straplocks available
A118PM0B1PGWDA,5,Best Straplock System
A3RHT4KI3H5TVH,5,strap locks
AGH6UUAIAZLMB,5,Always Straploks!
AJOK2CO9LSF37,3,Good
A3DCG2MNPR4BW,5,The Absolute BEST!!
A35XRT4BW4I6UD,5,Perfect
A346EQ2V4W531N,5,great product
A1Q3YZOVFXRKDZ,5,Dunlop Guitar strap locks
A1IQKXGJSKTAHP,4,Like them better than my old Schaller ones.
A217QN6PDMKS1A,5,An essential mod
A2F92AOWTIUIB,5,You'd be hard pressed to find a fault with these.
A2MIP3AQVSF2SS,5,The best straplocks available at any price
A1GOLQ90G6MHK6,5,Rock solid straplok system
A33DAMPX4T6K57,5,Trusted - Many Times Over!!
A1IL0PS2XJB4NS,5,Works!
A18RGYRCEN181M,4,Have these on all my guitars
A3GLD5QF1HMGO0,5,"Good Product, Fit Schecter Hellraiser Perfectly"
A2HWUC980HM1NP,3,"Works but had to ""ruin"" a strap for everything else."
A31B0LYT2C92SN,5,Essential for guitars security
A1HW9DAJBYXGDV,5,one for every guitar!
AXJ19189TLBLJ,5,Efficient
A1T4HGVX32QIYC,4,Almost perfect
ACVSCM9GWLNLS,4,Good stuff
A3BMI7VGJT60Y7,5,-
A327J5R77T2EY3,4,MARTIN UKULELE STRINGS REVIEW
A3GH47E9FF8WN1,5,The Best of the Lot
A2N4QZ92NBKJZZ,3,Aquila is better
A3UXW18DP4WSD6,5,great strings
A2G2DXPFZKG48W,5,"works great, priced right"
ASP978VO96X7C,4,great
A3RDS0DJ5EJGA7,4,"Easy to use, works"
AI9PZHPNTKPI,4,Nady MPF-6 Pop Filter
A3R8TPM1N7HFS4,4,Does the job well...
A34WEXT7SIRFE4,5,Does the job properly.
ARAK8OPNIFLHR,5,Perfect
A2XXBZPQT5EXHV,4,Will Give You Better Recordings But Can Be A Pain
A1L7M2JXN4EZCR,5,Works fine
A3TOND09136H4A,4,Works as a pop filter should
A1AU5K3JMPS3UQ,5,Works great
A78J38NU18DDZ,4,works well and looks pro
A18P5I03P4U8AI,2,mmm not that pleased
A362IZKSMV6MA8,5,Works Like A Charm
A10HYGDU2NITYQ,1,Something Funky Going On
A3E7O9NSS47TE8,4,very useful!
AD5G39PJUJVJ,1,Yuck
A2RI4QE6EO29CA,5,"Good for ""Home Use"""
A36C867ZDP30NQ,5,Does Its Job
AQZ7HGW2FF4ED,2,Untruthful Seller
A7TRK2GG6BHWD,5,Does Exactly What It's Supposed To Do
A2HTMBKL4KE2JH,5,it works
A11E4FWMN9BXJD,4,Above average pop filter
A34LQ791ACZ0JC,4,Decent Pop Filter
A39JMLMY96E8CP,5,Pop B Gone
A26Y7G0VFYUYSL,3,It gets the job done. That's what matters right? Aha....
AKDQ6O42VUK1U,3,Three Stars
AH4HBHRM707WA,4,Good Unit- Does the Job
A2XKZS6UXZWK9M,4,Does what it says
A1UMM894XSEO4F,4,microphone filter
A1K45HFFFDNP1A,4,Get this for your microphone
A27S1RZ4JF0S3N,5,You need it
A3O9JAQME0YOB0,5,Does the job well!
A2N7F3MVCTAOYP,5,Great pop filter with long neck
A2V9R0KCU8X6EH,5,Nady Pop Filter
A2D0F8W7FDBBS6,5,Great Pop filter
A2CPP7BZKOF9TP,4,what can i say it is a pop filter
A2XD36ONYLNU5J,5,Awesome!
ACUGOV6HBWDXB,4,Good for the price
A1W3CEEQBJ4GTN,5,Definitely an improvement
AMP0Z3DR4RCH7,5,Perfectly Adjustable
A2WYF4POBUXL2O,4,"It's necessary, so get one already!"
A310MXGFV4RIK0,5,Great POP Filter!
A37KK1CLMULHE4,4,Solid construction
A3EU3ET85O8ZFX,5,Awesome
A2Z84UZPX7064Q,5,Pretty Good Filter for the price
AJK15Q9JOEHRH,5,High quality cable
A1K582XYLTKUCD,5,Excellent product
A3DDZ2SENG07MS,5,Use it at every gig
A2JK2ITE138P7Z,5,Vintage look cable
AHUIPZZH2UKJG,4,Great quality cable
ABEQJOG7TS8GT,5,short
AQT4V74P38PPU,5,Great Cable
A1YP96MT6W9FTB,5,Outstanding Cable!
A3412OM2NWNT5E,2,To bad...
A2NOZB6VZCTOI4,5,A Great Heavy-Duty Braided Cable
A1XNCV67JBJVF7,5,pleased with the cables.
A3QR1W7AD80ZQ0,5,Great cable - matches my Blues Jr.
AKLDKUON6YY0X,4,Good cable
A2INSN8Z69R0FK,4,Bought a pair
AMP0Z3DR4RCH7,5,Great Retro Look
A2SH4497XM1HET,5,Great cable.
A3DJZHSAW4ANH0,5,Exactly as advertised
A1L7M2JXN4EZCR,5,Nice portable amplifier for practice
A2IDOKLAT1MP8X,5,For the price - an easy 5 stars
A1HQN6CNAO683Y,5,Little Giant
A2B1KICX3RPRX3,4,Nice little amp with a few annoyances
A19Q4B515ENF9C,5,Awesome Effects and a Great Sound
A20EZ7E8WUH2GZ,4,Plenty of power....
AEUG4DYQZJ64Z,5,New AC adaptor support 110V and 240V !!
A120FZ2ESIMA63,5,Quality and beauty!
A1L7M2JXN4EZCR,4,Nice finished guitar
A214MI77WXVK9Q,5,Best deal going for the price
A2XB18IXOKUV82,5,Amazing sound for under $200
AYQCAPXJ81XTN,5,i love this guitar!!!!!!!!!!!
AA5TINW2RJ195,5,Love it!
A158NXQZK3SZ9N,5,This case is it.
A3K96R872MUM3D,4,awesome!
A2U1Z3TZ4P76JB,5,Purchased this along with the Epiphone LP-100 Les Paul Guitar
A3DIN9E5QQZ6VT,5,Great affordable guitar case!
A3J2PKECNUGEHO,5,Good quality case the fits my Epi 56 Goldtop Reissue!
A2CKMJU4WD3XDE,5,Fits well and very durable
A1MM26M78136ZP,5,Tight Fit
A3PB1FI3R9V7PY,5,Love it
A18C03TA8N26L4,5,WHAT YOU EXPECT FOR A CASE
A3MDQTWO6NOV1U,5,best home for my new guitar...
A3K6M4WXNTYQEM,5,Very nice case
A3MW5BXUOCCQV0,5,Awesome Case
AZE83O4F1IJPR,5,Works for me.
A2W03JTG0K5OKF,5,Perfect Case for my Les Paul Special
A2T372SGRFAWYP,4,Epiphone case
A2JZTK0WGJCMGN,5,Wow!
A1EVEQAR05SY7L,5,Great budget case for Les Paul style guitars.
AN1RO6C6I78YO,5,Nice outer cover
A120FZ2ESIMA63,5,Very nice!
A2IDOKLAT1MP8X,2,Bare Minimum
A2Z548GT5948WH,4,Does the job
A214MI77WXVK9Q,5,Great Gigbag
A3CMXRFIWQCBKQ,5,Fits Epiphone Les Paul II
A3PGQWCSJPCYDH,4,Fit my Epiphone just fine
A25ZBYVW8ZINLM,3,Provides Some Protection
A1MTN9XWJSA5PI,4,More for Les
A2BRXREMT5WZJ0,5,Best momentary switch on the market
A3IKOEE8Z3T6BH,5,Does what it's supposed to
AJBBU53A0X84I,1,Got this for my Boss Loop Station.
AFUXETAHFUXFE,5,Good
A3TOCY3MSC878,5,it works
A2HDEN9SPBWC5I,5,I bought this to work on my Boss Dynamic Wah in the Harmonizer Mode
AMY8AUDIBXHCI,5,have a bunch of these
A3BMI7VGJT60Y7,5,This will more than suffice
A3394J1F9CN9W5,5,Absolutly an amazing guitar for $100
A8MTE6SIYM0GY,4,This review is different...
AT9G9PT2K0PLB,5,Great Guitar!
AYQCAPXJ81XTN,5,WOW!!!!!!!!!
AR6CAR106LX2Y,5,best bang for the money
A1RSRUQVKB5EBO,5,Good picks
A1LHMSY3Q46PJS,5,Great picks that work great on both acoustic and electric guitars
AONGA3BHTK0EG,4,Stiffer and brighter than Tortex
A20TFY5J3WNJU2,5,great picks.
APEJ8EJCC8PQ8,5,These are the best picks on the market
A362IZKSMV6MA8,4,it's a Pick
AD4MJT7YYVHP7,4,Same material as Jazz III Yellow
AKHWZ3S1UVZAO,3,Not Bad Picks...
A23HJIRA5PIMG0,2,Good picks but...
A2O2UE0UTPOB0Q,5,Best picks on phosphor bronze long-life strings
ADH0O8UVJOT10,5,My new pick-of-choice (replacing the Dunlop Orange)
A3ITN3125FJETP,5,Pickin!
A2P83FWHR36WN1,5,Great Picks
AOHR2Q90UXF23,5,works great for acoustics
A3MTR7P9PYAALX,5,Great for cleaning acoustics!
A1365RYO0BLEMI,5,Best Polish. Period.
A2B3XQ4FCJTKHQ,5,Great Polish
AQDHNCD25PFE6,4,Great Product!
A1UMM894XSEO4F,5,guitar polish
A6LHCT7P53RSA,5,Works great!
A3C9F3SZWLWDZF,5,Love it to death
AXXYMIJBD0J9G,5,Excellent product!
A39PQ7QR2JFXLV,3,Not Bad
AKDQ6O42VUK1U,5,Best going
A1DUPFUG526MVF,4,very good
AXMXE3RT660HQ,5,"Great Price, Best Pads"
A2W8RH6YUNXH83,5,Auralex Does It Again
A13798OPDBLDCO,5,Works Great!!
A3K6M4WXNTYQEM,3,They work
A26Y7G0VFYUYSL,5,Buy these MoPads to protect yourself from Audio bleeding!
A8L6Z9U1TCP06,5,Just foam pads but...
AAYAXHC63IX1D,5,These Do the Job
A3ZBLSAPZB9LE,5,Excellent product.
A3DGMJN91IUKGU,5,An Absolute Necessity For Your Monitors
A3L5L7OHXRY03L,4,Sound great but don't last long
A21Q29J3ZWPDNP,5,My top choice for acoustic
A12O5B8XNKNBOL,5,Great Strings!
AA169UZEJYAV1,5,Martin Acoustics
A23NSKTMSPPBTR,3,A lightweight contender
A3872Y2XH0YDX1,5,Excellent strings!
A3QSZ2SE3HUSXM,5,Great
ALVPGO19QI1SC,5,Excellant Bargain
A2XF1IANVPK7F,5,These strings retain a good feeling for a long time
A34G1GTMQGEDUN,5,Not a professional
AG1ZYSLKQCLMD,5,They sound good
A3IELJ39K3QL7,3,Good strings for the money!
A8AF0VV2LP4LV,5,Excellent
A2J4GBHSDLP4DF,5,Strings live up to Martin reputation
A2F92AOWTIUIB,4,Buy these. They are really good.
A2F2L5F9OWWVY6,5,"Two words ""THE BEST"""
A3QSZ2SE3HUSXM,5,The Best
A10NJEIG56RHN5,5,Great Srings
A39KDVU5JAXJIF,1,I feel like playing an active EMG on my Fender guitar...
A1MH0P8PE6AT4P,5,Good but hard to play
A6LHCT7P53RSA,5,Perfect!
A35XRT4BW4I6UD,5,What I expected.
A2G12DY50U700V,5,"Martin MSP4200 SP Phosphor Bronze Acoustic Guitar Strings, Medium"
A3O9JAQME0YOB0,5,Favorite!
A3G6HCQFH5DE28,4,Good enough
A2P83FWHR36WN1,5,Love 'em!
A2G8O3QXM9EGJS,5,Great for Bass
A1XL4YLORJ5IBS,5,Nice picks.
A13A81NN0NRD1S,5,my fave med pick for Strats!
A3QTFLU2ZWH7WS,5,Dunlop Tortex
A26SN2CVQM4FKM,4,good picks
A165EMA3YTIM6A,4,Like Bright Color
A1EUO0BU72JR7T,5,Review?  They're picks!
A1LHMSY3Q46PJS,5,Tortex Picks are simply great
A2B5LSF5V85SZA,5,Great Picks
A1UPZM995ZAH90,5,Tortex Picks
AANXFXLHZPBQU,5,Great price and good texture
A280VP2CL6ZFZZ,5,Cool
A1BH17V8BKLES,5,Just right for rocking hard but not breaking strings.
A34QHL6I85K3V5,5,pick of the litter....
A1NPG8GYIXYIVY,5,Good all rounder!
A1IT51TW0UI2LM,5,Great picks - Tortex / Delrin are the way to go
A2GVH4P25TXN8M,5,My favorite picks
A5RJ7TM82RH0I,5,Great!
A21Q29J3ZWPDNP,5,Blue Tortex are the picsk to go with!
A2JQWSA0GPVSQN,5,My Favorite Picks
A1VAUZRF5PUSOZ,5,great picks!
AKHWZ3S1UVZAO,2,"Not the Worst, but Close"
A2F26OVBDC7WWA,5,great picks
A1GM034H7XPDEW,5,Very sturdy and easy to grip
A2WROWUBLQ9GZZ,5,Picks
A2GA2GM4LWESIC,5,Favorite pick
A3FW4THIMBIN6V,5,Good Picks
A3M4FU3WQWJHMP,4,Good picks mostly for the Electrics
AG1ZYSLKQCLMD,5,Just about perfect
A1MI9FDCNB3CMR,5,Quality
A2BJZRLR99YW75,5,Great picks
A380AI4SNSJTTY,5,Always using these picks!
A1T3PBZ7DVBC26,5,If you need some good picks try these out
A55YZTYSWPH96,5,Still the best
ALUTHT4U058KZ,5,"Nice, serviceable for Guitar AND Bass"
A2G9UCBLL9YLET,5,Simply good
A1EW1P6BB16GP6,5,excellent
A4XWMOFB1HY04,5,My favorite for over 30 years!
A3RPDN9247BQHK,5,JACKPOT
A46D3MTB5LIUY,5,Only Picks I Use for Playing Acoustic - Strumming Style Play
A2CA4YBYSETM02,5,Fantastic Picks...last forever...
A1YBZOWO2RBIUZ,5,Been Using these for Years
A29GXZXORG2DS0,5,simple the best
A1NRNLEASOU773,5,dunlop picks are great
A2NOZB6VZCTOI4,5,Durable And Don't Slip: What's Not To Love?
AK7X7IXX7WYNJ,5,good
A2F92AOWTIUIB,4,"These guitar picks are great. If you have a guitarist that is in your family, get him a pack or 2. He will thank you."
A28DVY0Q6PPO1J,5,awesome
A1GOLQ90G6MHK6,5,good guitar pick
A21V6HGU6SU4JG,5,LOVE these picks
A32ZC1AIF9B85,5,Favorites
A1BD73IAW04XMZ,5,Great picks
A3UQS40N3PW18L,4,love the tortex
A1HW9DAJBYXGDV,4,.88 green
A1ZYV05OSO4QZK,4,Four Stars
A1RSRUQVKB5EBO,5,best picks
A22Z554ZQ8NFPC,5,Great!
A3RFWANBUVX4RA,2,pointless
A2U7ZM8TAJUFPQ,4,Good picks.
A3HCK3UXD6WS4G,5,Good picks!
A3MTR7P9PYAALX,5,Very thin! But great for acoustic guitar strumming.
A1MY8258SXRZ8M,5,Best picks for songs with a lot of chord strumming
A2T305UHZJ21L1,4,A good Pick
AKHWZ3S1UVZAO,4,Nice Picks
A10KH8EN77ZKWH,5,Good for learning to strum
A2HTMBKL4KE2JH,4,good picks
A1E5FQZTUM8OC1,3,Not the right feel
A149F91FB9WTW6,5,definitely like them
AF331KJH45RIH,5,Dunlops
A1O3P80RRDUV5P,5,"Best picks on Earth.  Flexible, indestructable"
A3SUC2DJYHUU9Y,5,My favorite pick for over 30 years
A3V1A3C9DTLPME,5,I use these picks for standard chord strumming.
A1MCMSRNN2AS1F,5,Just right
A1LI9W7A0CYOHV,4,Just what I was looking for
A2SKZZZBV1XYWP,5,Simply great picks.
A3NMQFWLXPP8EV,4,"Almost as good as Snarling Dogs picks, but not quite"
AB8JKS38BK9P,5,Good picks
A202CZ4PJH83G4,5,.38mm picks
A2HWUC980HM1NP,4,Great picks
A18MMME07XZLYO,5,helpful picks
A1YIGDWVHNNTMU,5,thin picks by Dunlop
A1EFMEZJESPF76,5,Very comfortable
A34QGH6PW5UPA2,5,Perfect for strumming!
A3MTR7P9PYAALX,5,Dunlops rock!
A149F91FB9WTW6,5,excellent
A3I49HMI4LV6HU,5,"Soft, flexible thin pick great for playing acoustic quietly"
A346EQ2V4W531N,4,great product
A12SSZIN555FTL,5,work well
AXWEQHTXQWR7Q,5,the are last forever!
A33H0WC9MI8OVW,5,Just right for Mountain dulcimers
A3MTR7P9PYAALX,5,I only use Dunlops
A3FBE4WF5KQRR1,5,just my size
A2XF1IANVPK7F,5,60mm is a perfect thickness for those looking to strum and occasionally pick
A3RNEUUWTA78QR,4,Great for rhythm guitar
A1O3P80RRDUV5P,5,"Best picks on Earth.  Flexible, indestructable"
A2VCXIAWCPQ13P,3,Good picks with ok grips
A5O3ZBCOLILKQ,5,Good picks!
A1GOLQ90G6MHK6,5,"play like porsche, pick wouldn't fly away"
A202CZ4PJH83G4,5,Seeking the Holy Grail of Picks
A3VIIH9ZNJ823H,5,picks are highly personal devices!
A22Z554ZQ8NFPC,4,Very good picks
A3GHV54CDBCKO4,5,Extra mellow sound.  A great pick
A20TFY5J3WNJU2,5,I bought 3 gauges.
AMGUVF20JAOG8,5,The best thing I've tried so far!
A362IZKSMV6MA8,5,Great Pick
A14Z9LAETO21KL,5,"Gator grip picks are my favorite, and I've always used 1.5 mm"
ABZYVME9NYCQG,5,Very Good Product
A1E5FQZTUM8OC1,4,Good for Strumming
A2IRI1NFJJJ6MZ,3,Gator Grip?
A3SUC2DJYHUU9Y,4,Contextually Perfect
AFGRMORWY2QNX,4,Love these pick!!!
AF1I90O6U8VCQ,3,So-so
A3MPMALWL0ERCA,4,Worth a try.
A22Z554ZQ8NFPC,3,Good & Bad
A22SZV0N4O2FQM,5,Great pick for all types of rock playing
AB2G1XOBEGWK2,3,"These Are Purple, Not Black!!"
A3GHV54CDBCKO4,4,Very good sound with these picks -- worth a try
A1EMD22HC94SI1,5,Love these
A17VW66OGW0ZKA,3,Stubby is right
ALV33FTOC032I,3,OK
A2C7BOQVFH1HLE,3,"Small, Hard, Good for Lead Guitarists Only!"
AKHWZ3S1UVZAO,5,Perfect Picks for Flatpicking
AMVC9WTXYKNJ1,5,"Thick, easy release, hard to drop."
A1IB42LRNA9QLW,5,Amazing Picks
A3RPTP7XINQSKI,5,Love these!
A2LBHMQ3142G3S,4,Superb guitar picks but serious durability issues
APH7O58XJXKPT,5,My favorite
AEWYUPCNDV7HY,5,"Wow, I'm amazed at the difference these make!"
A1EW1P6BB16GP6,1,to big
AD175S3OJX0DG,3,Good pick not great
AUZ9IPTKJKFDK,4,Lexan Stubby not the Nylon ones
A3ENT7V0MT34WP,5,Make sure you get the right pick
A2Z89YMZZJWBHS,4,My Long Time Favorite
A6VXZ1EEPRTLV,5,this pick helped to improve the precision of my playing...
A18RGYRCEN181M,5,Can't use any other pick
A3QTFLU2ZWH7WS,5,Dunlop Jazz III Pick
A24IO6G3W158E4,5,Never Using Another Pick
A34EGGJLO553D8,5,"Give em some time, you'll like em!"
A2BT968XSRPP0K,4,"Good Dunlop Jazz III Pick 6-Pack, Black Stiffo, 1.38mm"
A1BK0KBZBCB5V8,5,works great!
ATVYABSTW0LIE,5,My favorite
A23HJIRA5PIMG0,5,The best picks for blues and metal!!!!
A2P3Q65JU68Z5M,2,Dunlop:  What have you done to these picks???
A356YVTEMDX69J,5,Small-size picks for petite hands! :)
A2SHWIOE8TVWJ2,5,Best guitar picks out there.
A28L530VL9GK5K,5,Like it!
A1OZ7F08MNF320,5,know what your getting.
A1HW9DAJBYXGDV,5,The only pick I use now!
A3157YGT1NASJ7,3,"Good, just not for me"
AG3PVU7DCXZTK,5,Great picks
A17VW66OGW0ZKA,3,Too small
A2JK2ITE138P7Z,5,Great little jazz picks
A3W2KQ6CLTQ0ZD,5,A classic
A1MI9FDCNB3CMR,4,1 of several picks that I use
A24JUT24W1K3CV,5,Solid & Secure To Use
AA1ZYCEKJGG3A,5,"If you like small, minimal picks, check this out"
A28L530VL9GK5K,5,Good one!
A1OZ7F08MNF320,5,you cant beat a dunlop jazz 3 when you want to improve technique
A1IQKXGJSKTAHP,3,Depends on what you're playing
A37KK1CLMULHE4,3,"Nice pick, but try the XL"
A22Z554ZQ8NFPC,3,OK but nothing special
AMGUVF20JAOG8,4,Much better than average!
A20OBCQWBKCGZT,4,Nice picks if you're looking for specific colors
A2F1O3IYPFAY6M,4,Does the job
A35JPJHGOSPZX9,3,"Strikes and gutters, ups and downs."
A2MPM6M93OXIJT,3,Not what I would grab to play with
A1C60KQ8VJZBS5,5,This is Goldilocks's pick
A2G12DY50U700V,4,"Dunlop Gel Picks, Light"
AMP0Z3DR4RCH7,3,Not sticky enough
A2CCGGDGZ694CT,4,Convenient
A2QJQ3HSJB4NS,5,Simple and holds picks. Enough said.
A36IOSZXG6HQAU,5,never be without a pick on stage
A1P42OZ1MCNAHE,5,It works for me just fine thank you again Jim Dunlop
AANXFXLHZPBQU,5,Excelent!!
A1A9DIM802STMK,5,There when you need it.
ATLCEY1YIP1DG,5,I LOVE IT!!!!
ALB04NLERUCYC,5,Very cool to have
A26HM2R5529NYY,5,Necessary
A9RAHOMYAQB51,5,Love this
A1AUDW7X02EEPJ,5,Cool Product.
A94QU4C90B1AX,5,Awesome pick holder!
A3DOXGBWDJ1MU0,5,Very handy way to store picks.
A2SH4497XM1HET,4,Works...most of the time
A1H55L0BLPCWYF,3,Better than nothing
A27WU4E7J23ZS7,4,Good purchase to keep your guitar protected
A1NNBJRXPIDA12,5,Insurance Against Damage from Dryness
AXXYMIJBD0J9G,3,Nothing Special
A33H0WC9MI8OVW,5,"Very Easy to Use, Non-Messy"
A1VFUMY02HJIFY,5,No drip humidifier
AOGJD9K1UN63X,3,OK?
A8ANJNZAZQ6IQ,4,Works Fine & Much Better Than Nothing!
A3I9IGMS9GHW8J,3,does the trick
A2B58VXLLOFQKR,5,Does The Job
AGW1JFTQNX7SZ,2,Its simple
A3TM9RWCTMIK42,3,Planet Waves Humidifier
A3HN470MGR70D2,4,A Good Basic Humidifier for Round Hole Acoustic Guitars
A3QNHDUBMA6WQM,5,The only refill you need is distilled water....I'm in.
A3QPN05Y1OUX32,5,Easy to install
A14PY68SX7D5DV,5,Essential for any guitar player
A5MC7LP0ZBO4Q,4,As advertised.
APH7O58XJXKPT,5,Planet Waves Acoustic Guitar Humidifier
AXP7888CP2222,4,This is good for now!
A1LI9W7A0CYOHV,3,"Simple Product, Kind of Inconvenient"
A3H4FCMNBYS09K,4,hydration station
A3V1EHVB14TKX,4,Okay maybe not
A2CCGGDGZ694CT,5,Great stuff
A3RDS0DJ5EJGA7,4,"Easy to use, but..."
A1MVH1WLYDHZ49,5,"Yup, it stays on re-order list"
A32BCTL0HLOXRV,5,I have used for years
A2PDPIVN721PZ7,5,YOU CANNOT GO WRONG WITH GHS FAST FRET
A23033Q9WZBG4V,4,I love this stuff
A34EGGJLO553D8,5,Works
AXXYMIJBD0J9G,5,Great product!
A127K5WGHNUUH3,5,Fantastic
A1WQNVR4H66YX9,4,Shouldn't have waited my whole life
A2C7BOQVFH1HLE,4,Very Useful Accessory For String Instrumentalists!
A303039F43KD4E,5,Best Stuff Ever
A1GM034H7XPDEW,4,Glad I made the purchase
A10N243R7A5ZW3,5,really makes a difference
A2X2GEABQXRX7P,5,Essential for any guitar player!
A3EUD541ZM0R0R,5,This stuff is great and a container lasts a really long time
A3NI8JZCL7BZMC,5,very nice
A1GMWTGXW682GB,5,"Revived dirty bass strings, great product."
A1UKMEC156SHOD,5,Good Product
A1W228ES4U9GDQ,5,Works
A1LZ7QGWHBHWOD,5,Real smooth
A91PW87FR65XH,1,Not For Serious Players
AQOQUWM58SGFR,5,Works great ( I think)
AKYDGCKCY7H9F,5,Another use
A23AKO4BZLZ8DE,3,meh.
A2MIP3AQVSF2SS,5,The best fretboard treatment I have ever used
A2C46HQIZLYJUC,3,"Good product idea, could causes problems for some people."
A33DAMPX4T6K57,5,The Best!
